Hour,Timestamp,DTE Res kWh,DTE Com kWh
1,2018-01-01 00:00:00,2214088.0,1933590.0
2,2018-01-01 01:00:00,2090761.0,1925211.0
3,2018-01-01 02:00:00,1973113.0,1919973.0
4,2018-01-01 03:00:00,1912933.0,1922423.0
5,2018-01-01 04:00:00,1883448.0,1927259.0
6,2018-01-01 05:00:00,1871870.0,1960130.0
7,2018-01-01 06:00:00,1921563.0,2003474.0
8,2018-01-01 07:00:00,1962381.0,2033194.0
9,2018-01-01 08:00:00,2069620.0,1977702.0
10,2018-01-01 09:00:00,2213410.0,1995509.0
11,2018-01-01 10:00:00,2320617.0,2021309.0
12,2018-01-01 11:00:00,2367206.0,2017346.0
13,2018-01-01 12:00:00,2412132.0,2014938.0
14,2018-01-01 13:00:00,2410760.0,2007611.0
15,2018-01-01 14:00:00,2395878.0,1985107.0
16,2018-01-01 15:00:00,2409284.0,1978968.0
17,2018-01-01 16:00:00,2511840.0,1978918.0
18,2018-01-01 17:00:00,2778703.0,2063504.0
19,2018-01-01 18:00:00,2894854.0,2076623.0
20,2018-01-01 19:00:00,2860620.0,2070667.0
21,2018-01-01 20:00:00,2788875.0,2061107.0
22,2018-01-01 21:00:00,2662383.0,2057676.0
23,2018-01-01 22:00:00,2431086.0,2034058.0
24,2018-01-01 23:00:00,2241264.0,1992275.0
25,2018-01-02 00:00:00,2008939.0,2034745.0
26,2018-01-02 01:00:00,1910379.0,2030426.0
27,2018-01-02 02:00:00,1820380.0,2035827.0
28,2018-01-02 03:00:00,1790380.0,2055760.0
29,2018-01-02 04:00:00,1783219.0,2119592.0
30,2018-01-02 05:00:00,1859984.0,2234973.0
31,2018-01-02 06:00:00,1947813.0,2393757.0
32,2018-01-02 07:00:00,2016970.0,2522051.0
33,2018-01-02 08:00:00,2025123.0,2545853.0
34,2018-01-02 09:00:00,2039891.0,2588563.0
35,2018-01-02 10:00:00,2044405.0,2624150.0
36,2018-01-02 11:00:00,2045983.0,2548588.0
37,2018-01-02 12:00:00,2017043.0,2543018.0
38,2018-01-02 13:00:00,2001595.0,2545154.0
39,2018-01-02 14:00:00,1997441.0,2529097.0
40,2018-01-02 15:00:00,2043495.0,2495873.0
41,2018-01-02 16:00:00,2193907.0,2457158.0
42,2018-01-02 17:00:00,2555496.0,2494326.0
43,2018-01-02 18:00:00,2781508.0,2507237.0
44,2018-01-02 19:00:00,2812680.0,2550422.0
45,2018-01-02 20:00:00,2761687.0,2522709.0
46,2018-01-02 21:00:00,2641314.0,2475258.0
47,2018-01-02 22:00:00,2442342.0,2413384.0
48,2018-01-02 23:00:00,2270344.0,2322442.0
49,2018-01-03 00:00:00,2056781.0,2315526.0
50,2018-01-03 01:00:00,1963022.0,2279829.0
51,2018-01-03 02:00:00,1909250.0,2270174.0
52,2018-01-03 03:00:00,1879449.0,2269523.0
53,2018-01-03 04:00:00,1894219.0,2308761.0
54,2018-01-03 05:00:00,1959404.0,2408127.0
55,2018-01-03 06:00:00,2072629.0,2549091.0
56,2018-01-03 07:00:00,2122673.0,2663130.0
57,2018-01-03 08:00:00,2098331.0,2665795.0
58,2018-01-03 09:00:00,2038344.0,2704198.0
59,2018-01-03 10:00:00,2045563.0,2739747.0
60,2018-01-03 11:00:00,2039271.0,2663931.0
61,2018-01-03 12:00:00,2030258.0,2653033.0
62,2018-01-03 13:00:00,2016182.0,2650631.0
63,2018-01-03 14:00:00,2015909.0,2618020.0
64,2018-01-03 15:00:00,2065254.0,2582709.0
65,2018-01-03 16:00:00,2207693.0,2549270.0
66,2018-01-03 17:00:00,2492390.0,2579882.0
67,2018-01-03 18:00:00,2660397.0,2558872.0
68,2018-01-03 19:00:00,2670415.0,2595900.0
69,2018-01-03 20:00:00,2587184.0,2550228.0
70,2018-01-03 21:00:00,2477705.0,2492552.0
71,2018-01-03 22:00:00,2284690.0,2420305.0
72,2018-01-03 23:00:00,2111343.0,2333500.0
73,2018-01-04 00:00:00,1914776.0,2303435.0
74,2018-01-04 01:00:00,1803688.0,2292603.0
75,2018-01-04 02:00:00,1766427.0,2277740.0
76,2018-01-04 03:00:00,1747745.0,2260097.0
77,2018-01-04 04:00:00,1766419.0,2309638.0
78,2018-01-04 05:00:00,1835584.0,2400865.0
79,2018-01-04 06:00:00,1972942.0,2532370.0
80,2018-01-04 07:00:00,2045324.0,2660560.0
81,2018-01-04 08:00:00,2005093.0,2676239.0
82,2018-01-04 09:00:00,1970640.0,2714783.0
83,2018-01-04 10:00:00,1981505.0,2729029.0
84,2018-01-04 11:00:00,1967388.0,2655525.0
85,2018-01-04 12:00:00,1964559.0,2646443.0
86,2018-01-04 13:00:00,1939544.0,2648807.0
87,2018-01-04 14:00:00,1953097.0,2630636.0
88,2018-01-04 15:00:00,2006980.0,2591436.0
89,2018-01-04 16:00:00,2183662.0,2546424.0
90,2018-01-04 17:00:00,2499174.0,2596028.0
91,2018-01-04 18:00:00,2706468.0,2606130.0
92,2018-01-04 19:00:00,2741320.0,2648902.0
93,2018-01-04 20:00:00,2740000.0,2613672.0
94,2018-01-04 21:00:00,2626613.0,2555818.0
95,2018-01-04 22:00:00,2448630.0,2466051.0
96,2018-01-04 23:00:00,2301362.0,2354949.0
97,2018-01-05 00:00:00,2105790.0,2369339.0
98,2018-01-05 01:00:00,2009310.0,2344725.0
99,2018-01-05 02:00:00,1958751.0,2331329.0
100,2018-01-05 03:00:00,1944743.0,2327942.0
101,2018-01-05 04:00:00,1951664.0,2355421.0
102,2018-01-05 05:00:00,2000480.0,2453481.0
103,2018-01-05 06:00:00,2094482.0,2588554.0
104,2018-01-05 07:00:00,2158717.0,2679374.0
105,2018-01-05 08:00:00,2179472.0,2695178.0
106,2018-01-05 09:00:00,2137668.0,2726683.0
107,2018-01-05 10:00:00,2128880.0,2749701.0
108,2018-01-05 11:00:00,2123644.0,2675850.0
109,2018-01-05 12:00:00,2152059.0,2667942.0
110,2018-01-05 13:00:00,2098496.0,2658728.0
111,2018-01-05 14:00:00,2093718.0,2626877.0
112,2018-01-05 15:00:00,2133367.0,2599456.0
113,2018-01-05 16:00:00,2266229.0,2572559.0
114,2018-01-05 17:00:00,2531342.0,2596085.0
115,2018-01-05 18:00:00,2708178.0,2584734.0
116,2018-01-05 19:00:00,2724015.0,2623101.0
117,2018-01-05 20:00:00,2714506.0,2594438.0
118,2018-01-05 21:00:00,2608246.0,2521255.0
119,2018-01-05 22:00:00,2475223.0,2430781.0
120,2018-01-05 23:00:00,2390707.0,2309469.0
121,2018-01-06 00:00:00,2147488.0,2305851.0
122,2018-01-06 01:00:00,2053074.0,2263762.0
123,2018-01-06 02:00:00,1970342.0,2251609.0
124,2018-01-06 03:00:00,1942007.0,2235815.0
125,2018-01-06 04:00:00,1925679.0,2250768.0
126,2018-01-06 05:00:00,1948427.0,2304084.0
127,2018-01-06 06:00:00,2004638.0,2375377.0
128,2018-01-06 07:00:00,2099917.0,2406574.0
129,2018-01-06 08:00:00,2212116.0,2381172.0
130,2018-01-06 09:00:00,2257756.0,2404184.0
131,2018-01-06 10:00:00,2270116.0,2407847.0
132,2018-01-06 11:00:00,2276597.0,2389640.0
133,2018-01-06 12:00:00,2266059.0,2367339.0
134,2018-01-06 13:00:00,2239187.0,2344561.0
135,2018-01-06 14:00:00,2222934.0,2317123.0
136,2018-01-06 15:00:00,2242826.0,2305239.0
137,2018-01-06 16:00:00,2338303.0,2294966.0
138,2018-01-06 17:00:00,2563309.0,2357002.0
139,2018-01-06 18:00:00,2712217.0,2400236.0
140,2018-01-06 19:00:00,2713563.0,2386892.0
141,2018-01-06 20:00:00,2683452.0,2357906.0
142,2018-01-06 21:00:00,2604868.0,2316842.0
143,2018-01-06 22:00:00,2483373.0,2242274.0
144,2018-01-06 23:00:00,2421411.0,2127636.0
145,2018-01-07 00:00:00,2165759.0,2153000.0
146,2018-01-07 01:00:00,2047933.0,2136747.0
147,2018-01-07 02:00:00,1996740.0,2123552.0
148,2018-01-07 03:00:00,1957784.0,2121022.0
149,2018-01-07 04:00:00,1929517.0,2112854.0
150,2018-01-07 05:00:00,1928876.0,2134999.0
151,2018-01-07 06:00:00,1974194.0,2174581.0
152,2018-01-07 07:00:00,2054036.0,2204589.0
153,2018-01-07 08:00:00,2198088.0,2170143.0
154,2018-01-07 09:00:00,2287907.0,2180052.0
155,2018-01-07 10:00:00,2358880.0,2219905.0
