Hour,2019 kwh
1,3115839.0
2,3025826.0
3,2945866.0
4,2899227.0
5,2900468.0
6,2960049.0
7,3061090.0
8,3176957.0
9,3249609.0
10,3330483.0
11,3458449.0
12,3518179.0
13,3566742.0
14,3565633.0
15,3584016.0
16,3591400.0
17,3684180.0
18,3931852.0
19,4003464.0
20,3966089.0
21,3910116.0
22,3809369.0
23,3596653.0
24,3475420.0
25,3364719.0
26,3318150.0
27,3268550.0
28,3287931.0
29,3370687.0
30,3601065.0
31,3912830.0
32,4189257.0
33,4336820.0
34,4396023.0
35,4412275.0
36,4438891.0
37,4443961.0
38,4448923.0
39,4385399.0
40,4354003.0
41,4404389.0
42,4543293.0
43,4544496.0
44,4503514.0
45,4391042.0
46,4264855.0
47,4016320.0
48,3792044.0
49,3627790.0
50,3541675.0
51,3479473.0
52,3466845.0
53,3505896.0
54,3728059.0
55,4021080.0
56,4258268.0
57,4319622.0
58,4376374.0
59,4366971.0
60,4339482.0
61,4338996.0
62,4280196.0
63,4239932.0
64,4169966.0
65,4154301.0
66,4344936.0
67,4429712.0
68,4403884.0
69,4353875.0
70,4229399.0
71,3993358.0
72,3756504.0
73,3597465.0
74,3511079.0
75,3445854.0
76,3420789.0
77,3507507.0
78,3697923.0
79,3989083.0
80,4241847.0
81,4260065.0
82,4261449.0
83,4246321.0
84,4203344.0
85,4127469.0
86,4089314.0
87,3996722.0
88,3920511.0
89,3927036.0
90,4088805.0
91,4182564.0
92,4152333.0
93,4092908.0
94,3989162.0
95,3802547.0
96,3571707.0
97,3408356.0
98,3308798.0
99,3256010.0
100,3237198.0
101,3257891.0
102,3337335.0
103,3484392.0
104,3617596.0
105,3673538.0
106,3732703.0
107,3747363.0
108,3726371.0
109,3650660.0
110,3588851.0
111,3542885.0
112,3510935.0
113,3552647.0
114,3799579.0
115,3919130.0
116,3860995.0
117,3781755.0
118,3638806.0
119,3475566.0
120,3295170.0
121,3144195.0
122,3056622.0
123,2997408.0
124,2973527.0
125,2974600.0
126,3050779.0
127,3182960.0
128,3339980.0
129,3387813.0
130,3416087.0
131,3467516.0
132,3495310.0
133,3514137.0
134,3504281.0
135,3481626.0
136,3466798.0
137,3599874.0
138,3934123.0
139,4040365.0
140,4006930.0
141,3941564.0
142,3818116.0
143,3657429.0
144,3529888.0
145,3420399.0
146,3375255.0
147,3350852.0
148,3367713.0
149,3459593.0
150,3718311.0
151,4097634.0
152,4339025.0
153,4393085.0
154,4419173.0
155,4451350.0
156,4427498.0
157,4451060.0
158,4446257.0
159,4416370.0
160,4362398.0
161,4403586.0
162,4470056.0
163,4470140.0
164,4363876.0
165,4223414.0
166,4068388.0
