,Hour,DTE 2019 kWh,CE 2019 kWh,CE+DTE 2019 kWh,Zone 7 Overall 2019 kWh
0,1.0,4295735.29,3115839.0,7411574.29,8444842.512599254
1,2.0,4158898.77,3025826.0,7184724.77,8186367.2689464325
2,3.0,4038122.58,2945866.0,6983988.58,7957645.887388346
3,4.0,3955289.62,2899227.0,6854516.62,7810123.880697707
4,5.0,3921134.33,2900468.0,6821602.33,7772620.917819894
5,6.0,3992835.6,2960049.0,6952884.6,7922205.61487169
6,7.0,4090549.04,3061090.0,7151639.04,8148668.965140538
7,8.0,4188870.04,3176957.0,7365827.04,8392717.511011433
8,9.0,4194629.58,3249609.0,7444238.58,8482060.622280493
9,10.0,4325154.36,3330483.0,7655637.36,8722931.0952196
10,11.0,4453241.83,3458449.0,7911690.83,9014681.692912733
11,12.0,4613501.41,3518179.0,8131680.41,9265340.633216338
12,13.0,4706996.0,3566742.0,8273738.0,9427202.867652552
13,14.0,4779665.96,3565633.0,8345298.96,9508740.340476077
14,15.0,4818772.19,3584016.0,8402788.190000001,9574244.304212319
15,16.0,4872167.04,3591400.0,8463567.04,9643496.503038604
16,17.0,5007501.28,3684180.0,8691681.280000001,9903412.78483051
17,18.0,5152368.14,3931852.0,9084220.14,10350676.581032066
18,19.0,5260142.3,4003464.0,9263606.3,10555071.465420377
19,20.0,5211806.31,3966089.0,9177895.309999999,10457411.267488396
20,21.0,5093831.63,3910116.0,9003947.629999999,10259213.056750093
21,22.0,4989928.2,3809369.0,8799297.2,10026031.740087379
22,23.0,4780765.03,3596653.0,8377418.03,9545337.219517974
23,24.0,4560521.03,3475420.0,8035941.03,9156253.95949241
24,25.0,4446264.17,3364719.0,7810983.17,8899934.09743091
25,26.0,4334699.8,3318150.0,7652849.8,8719754.913713036
26,27.0,4292952.94,3268550.0,7561502.94,8615673.133441161
27,28.0,4273743.6,3287931.0,7561674.6,8615868.725040056
28,29.0,4398950.26,3370687.0,7769637.26,8852824.03891592
29,30.0,4685636.149999999,3601065.0,8286701.149999999,9441973.246513208
30,31.0,5063606.58,3912830.0,8976436.58,10227866.6146157
31,32.0,5412541.95,4189257.0,9601798.95,10940412.495061273
32,33.0,5617052.67,4336820.0,9953872.67,11341569.793347623
33,34.0,5726880.68,4396023.0,10122903.68,11534165.887421934
34,35.0,5822691.3,4412275.0,10234966.3,11661851.469515622
35,36.0,5847300.58,4438891.0,10286191.58,11720218.208529148
36,37.0,5869096.17,4443961.0,10313057.17,11750829.205286501
37,38.0,5873693.87,4448923.0,10322616.870000001,11761721.649699643
38,39.0,5846259.19,4385399.0,10231658.190000001,11658082.166683152
39,40.0,5831657.350000001,4354003.0,10185660.350000001,11605671.639645215
40,41.0,5839627.54,4404389.0,10244016.54,11672163.428690655
41,42.0,6026049.74,4543293.0,10569342.74,12042844.260687333
42,43.0,5980206.03,4544496.0,10524702.030000001,11991980.06492406
43,44.0,5844371.42,4503514.0,10347885.42,11790512.95866077
44,45.0,5733420.81,4391042.0,10124462.809999999,11535942.380079428
45,46.0,5542109.52,4264855.0,9806964.52,11174180.768826718
46,47.0,5228766.03,4016320.0,9245086.030000001,10533969.232976748
47,48.0,4966193.33,3792044.0,8758237.33,9979247.59920578
48,49.0,4740371.75,3627790.0,8368161.75,9534790.495732449
49,50.0,4646988.07,3541675.0,8188663.07,9330267.404617425
50,51.0,4568365.98,3479473.0,8047838.98,9169810.635853104
51,52.0,4544181.95,3466845.0,8011026.95,9127866.53818164
52,53.0,4629584.75,3505896.0,8135480.75,9269670.789204607
53,54.0,4827328.7,3728059.0,8555387.7,9748118.137088625
54,55.0,5140207.95,4021080.0,9161287.95,10438488.629157797
55,56.0,5400954.11,4258268.0,9659222.11,11005841.177794721
56,57.0,5482573.7,4319622.0,9802195.7,11168747.11434318
57,58.0,5613785.98,4376374.0,9990159.98,11382916.018341864
58,59.0,5717144.98,4366971.0,10084115.98,11489970.68609097
59,60.0,5730762.59,4339482.0,10070244.59,11474165.44696129
60,61.0,5643234.32,4338996.0,9982230.32,11373880.862346893
61,62.0,5628283.76,4280196.0,9908479.76,11289848.531286497
62,63.0,5584532.03,4239932.0,9824464.030000001,11194119.934274612
63,64.0,5463784.24,4169966.0,9633750.24,10976818.203425884
64,65.0,5489352.62,4154301.0,9643653.620000001,10988102.241225421
