Hour,DTE 2019 kWh
1,4295735.29
2,4158898.77
3,4038122.58
4,3955289.62
5,3921134.33
6,3992835.6
7,4090549.04
8,4188870.04
9,4194629.58
10,4325154.36
11,4453241.83
12,4613501.41
13,4706996.0
14,4779665.96
15,4818772.19
16,4872167.04
17,5007501.28
18,5152368.14
19,5260142.3
20,5211806.31
21,5093831.63
22,4989928.2
23,4780765.03
24,4560521.03
25,4446264.17
26,4334699.8
27,4292952.94
28,4273743.6
29,4398950.26
30,4685636.149999999
31,5063606.58
32,5412541.95
33,5617052.67
34,5726880.68
35,5822691.3
36,5847300.58
37,5869096.17
38,5873693.87
39,5846259.19
40,5831657.350000001
41,5839627.54
42,6026049.74
43,5980206.03
44,5844371.42
45,5733420.81
46,5542109.52
47,5228766.03
48,4966193.33
49,4740371.75
50,4646988.07
51,4568365.9799999995
52,4544181.95
53,4629584.75
54,4827328.7
55,5140207.95
56,5400954.11
57,5482573.7
58,5613785.9799999995
59,5717144.98
60,5730762.59
61,5643234.32
62,5628283.76
63,5584532.03
64,5463784.24
65,5489352.62
66,5752122.75
67,5858344.13
68,5826788.64
69,5724003.75
70,5513948.32
71,5210155.93
72,4913202.39
73,4693776.03
74,4576592.85
75,4500809.39
76,4494308.76
77,4554393.32
78,4743847.76
79,5145144.07
80,5459009.26
81,5543897.32
82,5618258.45
83,5606154.29
84,5568570.32
85,5460839.73
86,5416157.95
87,5339885.28
88,5270477.970000001
89,5220618.84
90,5486155.97
91,5607590.47
92,5545058.100000001
93,5441485.89
94,5256567.82
95,5044511.9
96,4793737.14
97,4548405.16
98,4422423.82
99,4337402.5
100,4279193.01
101,4283923.47
102,4413088.43
103,4585463.93
104,4761468.25
105,4830653.26
106,4892481.27
107,4949162.71
108,4883027.14
109,4785015.12
110,4737840.93
111,4682533.42
112,4597415.46
113,4698455.28
114,4999715.97
115,5184371.09
116,5132091.71
117,5050575.34
118,4887621.81
119,4703853.38
120,4468116.85
121,4291394.18
122,4190016.4899999998
123,4077199.71
124,4017228.31
125,3994128.73
126,4113528.49
127,4216997.04
128,4336920.18
129,4420018.88
130,4491246.43
131,4544391.59
132,4612606.28
133,4611320.5
134,4616607.36
135,4549888.55
136,4580184.86
137,4722475.81
138,5122026.21
139,5263121.47
140,5195021.98
141,5102770.35
142,4950976.49
143,4753475.15
144,4573989.22
145,4401789.96
146,4320152.55
147,4281333.98
148,4286801.7299999995
149,4406440.6
150,4714995.88
151,5218921.61
152,5591114.23
153,5728607.14
154,5716140.2299999995
155,5812971.11
156,5802026.55
157,5795344.33
158,5782596.2700000005
159,5701364.25
160,5659916.18
161,5736986.86
162,5897283.72
163,5889121.51
164,5788201.19
165,5633066.04
166,5352569.529999999
167,5028934.890000001
168,4701077.1
169,4484362.95
170,4356783.29
171,4292791.78
172,4308454.69
